,,,,,,,,,,,,,, BP Section: 2.5.1 ,,,
SALES MIX - YEAR 1,MONTH,,,,,,,,,,,,, FULL YEAR ,,,
ITEM OR SERVICE,Sale &    Cost Prices,,,,,,,,,,,,,,,,
Item 1,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Item 2,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Item 3,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service1,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 2,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 3,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 4,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 5,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 6,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 * Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 * Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 7,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
 Sale Price ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
 Cost of Goods Sold ,, $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   , $-   ,,,
Service 8,,,,,,,,,,,,,,,,,
No sold per month ,,,,,,,,,,,,,,0 ,,,
